ORDINE_CODICE_ATECO_2025,CODICE_ATECO_2025,TITOLO_ITALIANO_ATECO_2025,TITOLO_INGLESE_ATECO_2025,TITOLO_TEDESCO_ATECO_2025,GERARCHIA_ATECO_2025,CODICE_PADRE_ATECO_2025,GERARCHIA_PADRE_ATECO_2025
211,08.93.01,Estrazione di sale dal sottosuolo,Extraction of salt from underground,Gewinnung von Salz aus dem Untergrund,6,08.93.0,5
212,08.93.02,Salicoltura marina,Marine saliculture,Meersalzgewinnung,6,08.93.0,5
213,08.93.03,Produzione di sale da salamoia,Salt production by evaporation of other saline waters,Herstellung von Salz aus Salzlake,6,08.93.0,5
214,08.99,Altre attività estrattive n.c.a.,Other mining and quarrying n.e.c.,Gewinnung von Steinen und Erden a. n. g.,4,08.9,3
215,08.99.0,Altre attività estrattive n.c.a.,Other mining and quarrying n.e.c.,Gewinnung von Steinen und Erden a. n. g.,5,08.99,4
216,08.99.01,Estrazione di asfalto e bitume naturale,Mining and quarrying of asphalt and natural bitumen,Gewinnung von Naturasphalt und -bitumen,6,08.99.0,5
217,08.99.09,Altre attività estrattive varie n.c.a.,Mining and quarrying of other minerals n.e.c.,Jegliche andere Gewinnung von Steinen und Erden a. n. g.,6,08.99.0,5
218,09,Attività dei servizi di supporto all'estrazione,Mining support service activities,Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden,2,B,1
219,09.1,Attività di supporto all'estrazione di petrolio e gas naturale,Support activities for petroleum and natural gas extraction,Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas,3,09,2
220,09.10,Attività di supporto all'estrazione di petrolio e gas naturale,Support activities for petroleum and natural gas extraction,Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas,4,09.1,3
221,09.10.0,Attività di supporto all'estrazione di petrolio e gas naturale,Support activities for petroleum and natural gas extraction,Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas,5,09.10,4
222,09.10.00,Attività di supporto all'estrazione di petrolio e gas naturale,Support activities for petroleum and natural gas extraction,Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas,6,09.10.0,5
223,09.9,Attività di supporto ad altre attività estrattive,Support activities for other mining and quarrying,Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden,3,09,2
224,09.90,Attività di supporto ad altre attività estrattive,Support activities for other mining and quarrying,Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden,4,09.9,3
225,09.90.0,Attività di supporto ad altre attività estrattive,Support activities for other mining and quarrying,Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden,5,09.90,4
226,09.90.00,Attività di supporto ad altre attività estrattive,Support activities for other mining and quarrying,Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden,6,09.90.0,5
227,C,ATTIVITÀ MANIFATTURIERE,MANUFACTURING,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,1,,
228,10,Produzione di prodotti alimentari,Manufacture of food products,Herstellung von Nahrungs- und Futtermitteln,2,C,1
229,10.1,Lavorazione e conservazione di carne e produzione di prodotti a base di carne,Processing and preserving of meat and production of meat products,Schlachten und Fleischverarbeitung,3,10,2
230,10.11,"Lavorazione e conservazione di carne, esclusa la carne di volatili","Processing and preserving of meat, except of poultry meat","Schlachten, ohne Schlachten von Geflügel",4,10.1,3
231,10.11.0,"Lavorazione e conservazione di carne, esclusa la carne di volatili","Processing and preserving of meat, except of poultry meat","Schlachten, ohne Schlachten von Geflügel",5,10.11,4
232,10.11.00,"Lavorazione e conservazione di carne, esclusa la carne di volatili","Processing and preserving of meat, except of poultry meat","Schlachten, ohne Schlachten von Geflügel",6,10.11.0,5
233,10.12,Lavorazione e conservazione di carne di volatili,Processing and preserving of poultry meat,Schlachten von Geflügel,4,10.1,3
234,10.12.0,Lavorazione e conservazione di carne di volatili,Processing and preserving of poultry meat,Schlachten von Geflügel,5,10.12,4
235,10.12.00,Lavorazione e conservazione di carne di volatili,Processing and preserving of poultry meat,Schlachten von Geflügel,6,10.12.0,5
236,10.13,"Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili",Production of meat and poultry meat products,Fleischverarbeitung,4,10.1,3
237,10.13.0,"Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili",Production of meat and poultry meat products,Fleischverarbeitung,5,10.13,4
238,10.13.00,"Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili",Production of meat and poultry meat products,Fleischverarbeitung,6,10.13.0,5
239,10.2,"Lavorazione e conservazione di pesce, crostacei e molluschi","Processing and preserving of fish, crustaceans and molluscs",Fischverarbeitung,3,10,2
240,10.20,"Lavorazione e conservazione di pesce, crostacei e molluschi","Processing and preserving of fish, crustaceans and molluscs",Fischverarbeitung,4,10.2,3
241,10.20.0,"Lavorazione e conservazione di pesce, crostacei e molluschi","Processing and preserving of fish, crustaceans and molluscs",Fischverarbeitung,5,10.20,4
242,10.20.01,Lavorazione di alghe,Processing of seaweed,Algenverarbeitung,6,10.20.0,5
243,10.20.09,"Altre attività di lavorazione e conservazione di pesce, crostacei e molluschi","Other activities of processing and preserving of fish, crustaceans and molluscs",Sonstige Fischverarbeitungen,6,10.20.0,5
244,10.3,Lavorazione e conservazione di frutta e ortaggi,Processing and preserving of fruit and vegetables,Obst- und Gemüseverarbeitung,3,10,2
245,10.31,Lavorazione e conservazione di patate,Processing and preserving of potatoes,Kartoffelverarbeitung,4,10.3,3
246,10.31.0,Lavorazione e conservazione di patate,Processing and preserving of potatoes,Kartoffelverarbeitung,5,10.31,4
247,10.31.00,Lavorazione e conservazione di patate,Processing and preserving of potatoes,Kartoffelverarbeitung,6,10.31.0,5
248,10.32,Produzione di succhi a base di frutta e ortaggi,Manufacture of fruit and vegetable juice,Herstellung von Frucht- und Gemüsesäften,4,10.3,3
249,10.32.0,Produzione di succhi a base di frutta e ortaggi,Manufacture of fruit and vegetable juice,Herstellung von Frucht- und Gemüsesäften,5,10.32,4
250,10.32.00,Produzione di succhi a base di frutta e ortaggi,Manufacture of fruit and vegetable juice,Herstellung von Frucht- und Gemüsesäften,6,10.32.0,5
251,10.39,Altre attività di lavorazione e conservazione di frutta e ortaggi,Other processing and preserving of fruit and vegetables,Sonstige Verarbeitung von Obst und Gemüse,4,10.3,3
252,10.39.0,Altre attività di lavorazione e conservazione di frutta e ortaggi,Other processing and preserving of fruit and vegetables,Sonstige Verarbeitung von Obst und Gemüse,5,10.39,4
253,10.39.00,Altre attività di lavorazione e conservazione di frutta e ortaggi,Other processing and preserving of fruit and vegetables,Sonstige Verarbeitung von Obst und Gemüse,6,10.39.0,5
254,10.4,Produzione di oli e grassi vegetali e animali,Manufacture of vegetable and animal oils and fats,Herstellung von pflanzlichen und tierischen Ölen und Fetten,3,10,2
255,10.41,Produzione di oli e grassi,Manufacture of oils and fats,"Herstellung von Ölen und Fetten, ohne Margarine u. Ä. Nahrungsfette",4,10.4,3
256,10.41.1,Produzione di olio di oliva,Manufacture of olive oil,Herstellung von Olivenöl,5,10.41,4
257,10.41.10,Produzione di olio di oliva,Manufacture of olive oil,Herstellung von Olivenöl,6,10.41.1,5
258,10.41.2,Produzione di altri oli vegetali,"Manufacture of vegetable oils, other than olive oil",Herstellung von anderen pflanzlichen Ölen,5,10.41,4
259,10.41.20,Produzione di altri oli vegetali,"Manufacture of vegetable oils, other than olive oil",Herstellung von anderen pflanzlichen Ölen,6,10.41.2,5
260,10.41.3,Produzione di oli e grassi animali,Manufacture of animal oils and fats,Herstellung von tierischen Ölen und Fetten,5,10.41,4
261,10.41.30,Produzione di oli e grassi animali,Manufacture of animal oils and fats,Herstellung von tierischen Ölen und Fetten,6,10.41.3,5
262,10.42,Produzione di margarina e di grassi alimentari simili,Manufacture of margarine and similar edible fats,Herstellung von Margarine u. Ä. Nahrungsfetten,4,10.4,3
263,10.42.0,Produzione di margarina e di grassi alimentari simili,Manufacture of margarine and similar edible fats,Herstellung von Margarine u. Ä. Nahrungsfetten,5,10.42,4
264,10.42.00,Produzione di margarina e di grassi alimentari simili,Manufacture of margarine and similar edible fats,Herstellung von Margarine u. Ä. Nahrungsfetten,6,10.42.0,5
265,10.5,Produzione di prodotti lattiero-caseari e gelati,Manufacture of dairy products and edible ice,Herstellung von Milcherzeugnissen und Speiseeis,3,10,2
266,10.51,Produzione di prodotti lattiero-caseari,Manufacture of dairy products,Herstellung von Milcherzeugnissen,4,10.5,3
267,10.51.1,Trattamento igienico del latte,Processing of liquid milk,Sterilisierung der Milch,5,10.51,4
268,10.51.10,Trattamento igienico del latte,Processing of liquid milk,Sterilisierung der Milch,6,10.51.1,5
269,10.51.2,Produzione di derivati del latte,Manufacture of other dairy products,Herstellung von Milchprodukten,5,10.51,4
270,10.51.20,Produzione di derivati del latte,Manufacture of other dairy products,Herstellung von Milchprodukten,6,10.51.2,5
271,10.52,Produzione di gelati,Manufacture of ice cream and other edible ice,Herstellung von Speiseeis,4,10.5,3
272,10.52.0,Produzione di gelati,Manufacture of ice cream and other edible ice,Herstellung von Speiseeis,5,10.52,4
273,10.52.00,Produzione di gelati,Manufacture of ice cream and other edible ice,Herstellung von Speiseeis,6,10.52.0,5
274,10.6,"Lavorazione di granaglie, produzione di amidi e di prodotti amidacei","Manufacture of grain mill products, starches and starch products","Mahl- und Schälmühlen, Herstellung von Stärke und Stärkeerzeugnissen",3,10,2
275,10.61,Lavorazione di granaglie,Manufacture of grain mill products,Mahl- und Schälmühlen,4,10.6,3
276,10.61.1,Lavorazione di frumento e altri cereali,Wheat and grain milling,Verarbeitung von Weizen und anderem Getreide,5,10.61,4
277,10.61.11,Lavorazione di frumento,Wheat milling,Verarbeitung von Weizen,6,10.61.1,5
278,10.61.19,Lavorazione di altri cereali,"Grain milling, other that wheat milling",Verarbeitung von anderem Getreide,6,10.61.1,5
279,10.61.2,Lavorazione del riso,Rice milling,Verarbeitung von Reis,5,10.61,4
280,10.61.20,Lavorazione del riso,Rice milling,Verarbeitung von Reis,6,10.61.2,5
281,10.61.9,Lavorazioni di altre granaglie,Manufacture of other grain mill products,Andere Mahl- und Schälmühlen,5,10.61,4
282,10.61.90,Lavorazioni di altre granaglie,Manufacture of other grain mill products,Andere Mahl- und Schälmühlen,6,10.61.9,5
283,10.62,Produzione di amidi e di prodotti amidacei,Manufacture of starches and starch products,Herstellung von Stärke und Stärkeerzeugnissen,4,10.6,3
284,10.62.0,Produzione di amidi e di prodotti amidacei,Manufacture of starches and starch products,Herstellung von Stärke und Stärkeerzeugnissen,5,10.62,4
285,10.62.00,Produzione di amidi e di prodotti amidacei,Manufacture of starches and starch products,Herstellung von Stärke und Stärkeerzeugnissen,6,10.62.0,5
286,10.7,Produzione di prodotti da forno e farinacei,Manufacture of bakery and farinaceous products,Herstellung von Back- und Teigwaren,3,10,2
287,10.71,Produzione di pane; produzione di prodotti di pasticceria freschi,Manufacture of bread; manufacture of fresh pastry goods and cakes,"Herstellung von Backwaren, ohne Dauerbackwaren",4,10.7,3
288,10.71.1,Produzione di pane e prodotti di panetteria simili,Manufacture of bread and similar products,Herstellung von Brot und ähnlichen Backwaren,5,10.71,4
289,10.71.10,Produzione di pane e prodotti di panetteria simili,Manufacture of bread and similar products,Herstellung von Brot und ähnlichen Backwaren,6,10.71.1,5
290,10.71.2,Produzione di prodotti di pasticceria freschi,Manufacture of fresh pastry goods and cakes,Herstellung von frischen Feinbackwaren,5,10.71,4
291,10.71.20,Produzione di prodotti di pasticceria freschi,Manufacture of fresh pastry goods and cakes,Herstellung von frischen Feinbackwaren,6,10.71.2,5
292,10.72,"Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati","Manufacture of rusks, biscuits, preserved pastries and cakes",Herstellung von Dauerbackwaren,4,10.7,3
293,10.72.0,"Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati","Manufacture of rusks, biscuits, preserved pastries and cakes",Herstellung von Dauerbackwaren,5,10.72,4
294,10.72.00,"Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati","Manufacture of rusks, biscuits, preserved pastries and cakes",Herstellung von Dauerbackwaren,6,10.72.0,5
295,10.73,Produzione di prodotti farinacei,Manufacture of farinaceous products,Herstellung von Teigwaren,4,10.7,3
296,10.73.0,Produzione di prodotti farinacei,Manufacture of farinaceous products,Herstellung von Teigwaren,5,10.73,4
297,10.73.01,Produzione di prodotti farinacei freschi,Manufacture of fresh farinaceous products,Herstellung von frischen Teigwaren,6,10.73.0,5
298,10.73.02,Produzione di prodotti farinacei conservati,Manufacture of preserved farinaceous products,Herstellung von haltbar gemachten Teigwaren,6,10.73.0,5
299,10.8,Produzione di altri prodotti alimentari,Manufacture of other food products,Herstellung von sonstigen Nahrungsmitteln,3,10,2
300,10.81,Produzione di zucchero,Manufacture of sugar,Herstellung von Zucker,4,10.8,3
301,10.81.0,Produzione di zucchero,Manufacture of sugar,Herstellung von Zucker,5,10.81,4
302,10.81.00,Produzione di zucchero,Manufacture of sugar,Herstellung von Zucker,6,10.81.0,5
303,10.82,"Produzione di cacao, cioccolato, caramelle e confetterie","Manufacture of cocoa, chocolate and sugar confectionery","Herstellung von Süßwaren, ohne Dauerbackwaren",4,10.8,3
304,10.82.0,"Produzione di cacao, cioccolato, caramelle e confetterie","Manufacture of cocoa, chocolate and sugar confectionery","Herstellung von Süßwaren, ohne Dauerbackwaren",5,10.82,4
305,10.82.00,"Produzione di cacao, cioccolato, caramelle e confetterie","Manufacture of cocoa, chocolate and sugar confectionery","Herstellung von Süßwaren, ohne Dauerbackwaren",6,10.82.0,5
306,10.83,Lavorazione di tè e caffè,Processing of tea and coffee,"Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz",4,10.8,3
307,10.83.0,Lavorazione di tè e caffè,Processing of tea and coffee,"Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz",5,10.83,4
308,10.83.01,Lavorazione di tè e di altri preparati per infusi,Processing of tea and other herb infusions,Verarbeitung von Tee und anderen Präparaten für Kräutertees,6,10.83.0,5
309,10.83.02,Lavorazione di caffè,Processing of coffee,"Verarbeitung von Kaffee, Herstellung von Kaffee-Ersatz",6,10.83.0,5
310,10.84,Produzione di condimenti e spezie,Manufacture of condiments and seasonings,Herstellung von Würzmitteln und Soßen,4,10.8,3
311,10.84.0,Produzione di condimenti e spezie,Manufacture of condiments and seasonings,Herstellung von Würzmitteln und Soßen,5,10.84,4
312,10.84.00,Produzione di condimenti e spezie,Manufacture of condiments and seasonings,Herstellung von Würzmitteln und Soßen,6,10.84.0,5
313,10.85,Produzione di pasti e piatti preparati,Manufacture of prepared meals and dishes,Herstellung von Fertiggerichten,4,10.8,3
314,10.85.0,Produzione di pasti e piatti preparati,Manufacture of prepared meals and dishes,Herstellung von Fertiggerichten,5,10.85,4
315,10.85.01,"Produzione di pasti e piatti preparati a base di carne, inclusi pasti e piatti preparati a base di carne di volatili",Manufacture of prepared meat or poultry meals and dishes,Herstellung von Fleischfertiggerichten,6,10.85.0,5
316,10.85.02,Produzione di pasti e piatti preparati a base di pesce,Manufacture of prepared fish meals and dishes,Herstellung von Fischfertiggerichten,6,10.85.0,5
317,10.85.03,Produzione di pasti e piatti preparati a base di ortaggi,Manufacture of prepared vegetable meals and dishes,Herstellung von Gemüsefertiggerichten,6,10.85.0,5
318,10.85.04,Produzione di pizza surgelata o altrimenti conservata,Manufacture of frozen or otherwise preserved pizza,Herstellung von Fertigpizza,6,10.85.0,5
319,10.85.05,Produzione di pasti e piatti preparati a base di pasta,Manufacture of prepared pasta meals and dishes,Herstellung von Nudelfertiggerichten,6,10.85.0,5
320,10.85.09,Produzione di altri pasti e piatti preparati,Manufacture of other prepared meals and dishes,Herstellung von sonstigen Fertiggerichten,6,10.85.0,5
321,10.86,Produzione di preparati omogeneizzati e di alimenti dietetici,Manufacture of homogenised food preparations and dietetic food,Herstellung von homogenisierten und diätetischen Nahrungsmitteln,4,10.8,3
322,10.86.0,Produzione di preparati omogeneizzati e di alimenti dietetici,Manufacture of homogenised food preparations and dietetic food,Herstellung von homogenisierten und diätetischen Nahrungsmitteln,5,10.86,4
323,10.86.00,Produzione di preparati omogeneizzati e di alimenti dietetici,Manufacture of homogenised food preparations and dietetic food,Herstellung von homogenisierten und diätetischen Nahrungsmitteln,6,10.86.0,5
324,10.89,Produzione di altri prodotti alimentari n.c.a.,Manufacture of other food products n.e.c.,Herstellung von sonstigen Nahrungsmitteln a. n. g.,4,10.8,3
